frame,right_elbow,left_elbow,right_knee,left_knee
0,110.60037145496506,171.16449359471832,146.14507882372897,150.5768092203189
1,109.7342632681482,178.12081731755669,144.91278841146797,151.88620445818196
2,109.83821441465088,177.06183135400508,142.97359322330422,152.2410307585867
3,109.79330224984493,178.19656498652458,137.403089543796,153.53826348653521
4,110.2634084479388,176.233589515206,137.79757758089383,152.65221818393394
5,111.29677248465158,176.28405351200843,137.7884449839061,153.1628667747842
6,112.51164548617515,173.67884345061475,144.8797858333209,154.29645463941804
7,113.52627776332476,167.92204293888972,145.5211102914197,153.9655583016934
8,112.51740906192471,170.66508149594537,150.4670860856095,154.45112804516543
9,112.63438245596953,170.4790684587469,149.11402443658656,154.09642568019908
10,112.70822309438175,170.93700686879856,148.37647353787756,154.8907428929923
11,112.267600749808,171.19926628112165,149.12194582319253,154.77237961849733
12,112.94162809996139,170.5231418432241,150.56865891940882,155.1526784808921
13,112.9979023902437,169.55575591638794,149.0689067532102,154.97741215136116
14,113.06718634650726,169.38677694811258,148.50033151040856,154.5949597904411
15,113.79997435680522,169.99829823008622,149.11554778518672,154.57546950963976
16,114.6247572062837,171.1341098359718,149.20013847059673,154.36149784327208
17,115.4643170506443,170.9759924518072,149.64071869812855,154.56814061287506
18,116.72444147924905,170.5164126883042,150.05218005602305,154.60343523362408
19,116.99477370707817,170.69990863616783,149.91823184449186,154.6820236219544
20,117.71169001133366,171.57976342734506,149.64973474586566,154.6855253192913
21,118.3132502168688,171.3406988183185,149.70567419009245,154.7045106979052
22,118.2048207481029,171.7003770063917,149.6234172588037,154.67741535283736
23,117.9399830274334,172.39157590817834,148.786505370604,154.4067956354989
24,118.26515248089332,171.32690082420396,148.84088223267656,154.75994831884705
25,118.22669184185358,171.65172578043416,149.25621806173444,155.09446344325292
26,118.38815785264353,171.55033164876215,148.96003682126877,155.11910005452842
27,118.25118364141862,171.62526522002145,148.94006759687989,154.9914260767951
28,117.60750136795657,171.5992841338987,148.92660571136008,155.0878395396378
29,117.66883370949697,172.687583308138,149.2292774261722,154.88768579408782
30,114.22067581768592,172.82925276260625,149.19732727230652,154.13131513330947
31,111.6511526686686,173.7452947431466,151.18131447880475,154.10331664077464
32,110.851625146783,173.61317691909835,150.90366780925794,153.96636391217066
33,110.22943831418971,174.436199939624,151.4347308379948,153.73520300818538
34,110.16169757275352,174.4725709867627,151.35856241203825,153.3863928572063
35,109.30735326421963,174.54369611694258,151.2541152530891,153.57108023170875
36,108.47289200525269,175.8198598328934,148.9802325965987,152.54514565524823
37,108.17828251409443,177.05287415310087,147.24401774136365,152.53977467983856
38,106.4154222165474,178.07500618777414,142.25443383993397,150.68120350494442
39,106.89283116918646,176.27442094985844,142.6300563582054,151.1275026157867
40,107.42445062347733,173.87508467285267,146.53892059068735,151.81578173390778
41,103.56548575398203,175.13816800049017,152.33525497497436,154.37484205854372
42,96.14387297769937,175.48889866717496,150.35392737504196,153.98703252469045
43,92.19693045199072,173.1023779662029,147.495836761119,152.5983816317531
44,90.00166925208181,170.35381611659682,146.62834078926457,153.7376046903296
45,80.11646974881899,168.41999676466742,145.69424575875956,154.97298288661997
46,77.84657346917481,166.51771660388613,148.79794567630512,155.77859702192887
47,70.82048222380566,162.56068562596045,147.43539877009536,154.68991603049787
48,70.1277126360813,159.42070253728087,147.20258765113937,155.81461872130285
49,74.57856977009934,148.5522021516945,144.3246061350198,155.8156746819806
50,77.53012338066411,146.39567946598856,144.91934066603503,156.61605068263734
51,84.50823491288892,143.62088364117338,143.25936790296535,155.28998168129806
52,121.84557915769811,137.41404956750355,129.1787223840647,147.332580341831
53,119.43145319806827,128.2722321025746,124.01435307437374,136.4734695680998
54,117.14429750902754,122.00362794437827,128.34194511989878,131.83730343528197
55,118.67953619078428,112.34648352835163,119.12008112442179,124.01408279733242
56,125.11585243276424,105.09106646689315,113.7102403107929,113.78206587462044
57,122.96838891986201,94.83191429390861,111.50382346644848,109.03935060048404
58,123.52746816570655,79.03447566436222,107.74143763629685,110.9342486063518
59,126.68694456546146,73.83576420345665,92.2975136316879,107.41367657404857
60,129.2221053575764,71.03756313275176,104.12804727366576,110.23404285784812
61,132.75231706740138,70.09153414820338,93.82016073627483,108.53935566941453
62,129.5058015585653,83.3123460171102,81.72076360355405,108.8599132592343
63,125.7517283189567,79.46573786598289,83.31839663114913,106.65267338089343
64,131.69906113068663,78.18092562866967,81.52104668467723,104.16217157920877
65,133.07547224957816,73.70676017398922,86.73721808163641,102.92234550302871
66,131.45125978517535,73.23568007121217,89.96430454530727,96.25777264057248
67,128.9769298405803,72.25326292360583,88.62792203198069,97.72693087331487
68,121.95680443403461,55.2018350849371,94.95068652365111,102.27753521340591
69,116.12337539399644,92.21317292339083,110.63918371331927,113.85166289577847
70,116.04708706333079,76.37519414822421,112.56307944958594,113.76883961349469
71,112.32056751479551,74.12942699913593,129.83276275595125,116.27315863797936
72,117.7630605313948,76.73263870444897,134.09329651424926,116.47243311740122
73,127.17670197425402,101.48237871428812,130.64009909922962,105.87313883226346
74,129.67149448288066,108.1125296526882,132.99645954656302,102.70594030843664
75,130.22188039843968,100.43529250347133,134.70671015620778,105.10666874737292
76,134.98779504249657,105.7054025876631,137.82290377742524,106.91001157776225
77,134.1227676925482,106.69578302360048,142.80230251940725,110.28021058318835
78,133.48809829277565,111.24187055430498,141.10951188924483,111.37552310055624
79,136.1597736424957,111.04768169453169,138.77522291970962,113.73427214514585
80,135.2353829567079,113.52565707239049,136.06388109758413,115.51400422493991
81,134.5856496566091,111.34915218173981,133.70210518714794,119.33556299270487
82,136.0641770091147,114.77993290506956,140.41671651675858,122.77925203967914
83,134.9757359089468,118.80848737150045,141.59103921155202,121.64508088284236
84,127.25180635510083,121.02608416628277,143.47576659501982,118.29152195299798
85,129.79041189279337,120.03280112943621,140.5652381630946,123.8203015589715
86,130.07851228516918,123.96898518991047,139.84241105854838,121.06785362830172
87,119.44288446940016,119.68615834974275,139.90762565344136,124.45880372436893
88,119.22559195335296,118.14885539094779,138.883126497785,122.75848604012977
89,118.81948042934386,124.14870749422414,144.65932610897931,131.81128076850288
90,107.64767986435656,126.0363770741318,143.9740504954132,124.08493337911436
91,114.04063276061103,123.52189331198912,143.76645539291303,124.59089392861056
92,116.02563600338623,125.36959358072767,139.52900707195724,123.43221763364221
93,117.91563644105035,124.35189981426882,138.05758430804568,122.9664597452632
94,121.45596123218874,123.14657889913087,138.4301983237088,125.21423937528677
95,120.34964446200415,122.19174840869722,141.76478821077643,130.26818286828555
96,121.94926110032243,121.63212184610806,141.19156330010892,130.5549191272601
97,117.4801048264781,123.86242396965743,136.80556218458236,125.00235477555033
98,120.02058000531875,122.2736435116943,137.21351283717885,126.01787426293686
99,119.01757714194395,121.6599858489268,137.16546691585097,126.02793447519662
100,117.8178116221332,120.25300818484897,136.65600626170198,126.5248242794104
101,116.82057351224935,119.67170877146059,136.18269333333643,125.43338111298114
102,111.71868474104409,116.43547541199061,132.76680256923757,127.68604255417644
103,114.45590794627039,116.5357083936812,131.95185392329276,126.84056444453813
104,114.74660209023293,118.34067052170928,130.900865235337,127.53288917429491
105,113.91144597511293,117.64411784359669,130.0786573354396,125.08717873664011
106,113.67373752335412,117.0853470885503,130.99474055895598,124.8168496006073
107,111.74262781459021,117.07966787887733,131.80277514411614,124.26155385702614
108,112.89732094062633,119.20148436218697,132.06281467452035,125.54111221563835
109,115.79009790971968,122.7690176129912,132.51228304547013,124.16716561214446
110,114.3228885019039,120.82357294819408,132.9693077298181,126.27096828818557
111,113.94398122958901,120.56682029693776,133.16439198876134,126.78669172283038
112,113.43396759973324,121.28107765400621,132.69004307773116,126.16765110037666
113,114.59110583367638,121.07272386982214,133.3143716209531,128.18854135716353
114,114.99841962217013,120.89940208306653,130.61556086297406,128.17388758568984
115,114.42594366266943,120.40105839483391,126.39673991977777,125.50860951752989
116,115.66257853236274,121.08963925787393,125.58988404297025,124.87160493075244
117,116.57347348665657,121.9586692284254,123.20767969035191,126.03563579491454
118,118.03187181970867,123.14296639123046,125.07500145938273,128.48507561857738
119,120.60756608559592,127.51377342682646,131.62872761939926,124.70665471126541
120,124.01575190318177,128.5926460223307,132.8723613635336,121.18255795774287
121,124.75196945616337,129.24868974323854,133.60109308865194,119.0640688451449
122,126.09493393521255,132.60212988034715,134.6351040376165,118.39303247560862
123,128.42380633084386,134.15018934398864,133.73171920994403,118.26379217968531
124,128.81010295018274,134.79651284947963,135.06338690328707,117.05686916845363
125,128.66504010748884,138.73344760461993,135.52543323901875,119.77915697898344
126,133.87954102176033,144.38641004893094,133.60264988453034,116.76815198142913
127,136.92475382368798,152.3994993265655,136.81191221167242,116.66476835433328
128,132.79545173342436,157.62373356911726,135.6422035959018,113.41614198289933
129,125.4528335582595,157.29407987691215,135.32050769321606,113.2370045426482
130,89.95149446573251,162.36231059532366,141.9813109676284,118.68347621113337
131,85.56064332559077,165.42894607833395,143.72167363164687,118.54312515992146
132,106.99543745967942,165.6429000156828,140.3949789045324,120.6031390695168
133,66.37297206172053,163.8823282333037,144.9774299426026,120.49041712692865
134,79.79472999445007,161.8162754301012,146.05918165338787,125.42529198854601
135,132.03643603981627,159.61942626543544,119.08928742489285,134.45873527399567
136,131.97301253961345,160.6499113663164,67.30738844362676,133.27933373821256
137,95.71727914316654,163.35823425154751,60.581010507623,118.3396952828247
138,122.1013313676637,162.6353859997304,60.70006045352038,111.54176109945939
139,110.03226814923335,162.49585351748362,58.33022252387192,113.91060817814154
140,104.16283920739285,163.93642019642533,62.1926315419321,118.05269646151325
141,107.95091833919409,161.8369708426206,58.68712313919724,114.50111008630587
142,98.14163612891451,160.50430879999197,58.177378058533435,115.07793260299852
143,109.93198468388331,162.40764254581154,55.73289182720443,104.89434265708888
144,114.53133791442558,163.69972058852017,74.31069487708022,100.57342255176327
145,115.52885583405536,163.38365020934194,92.30122207727145,94.74169594773417
146,111.86829511837234,164.8304552908086,90.66246335029724,100.9513571093047
147,118.50928386994353,164.58633233143118,91.61963281921012,115.51684699065446
148,111.94385189794808,161.92230773603794,77.45130335066874,108.82774304880047
149,134.73238441296584,161.31128017988368,98.5170738908913,106.68598899924541
150,140.45543552661584,161.94024298002873,107.59937364993424,102.57580353621023
151,139.9548832320297,158.86665540091252,99.07566151274997,100.24662856473785
152,136.7534372971257,158.2079566733208,102.48392067757126,112.55208655830715
153,118.5493768123643,152.39988237482248,99.95427522956945,109.33762898287583
154,128.18087426678105,152.35962075011548,108.23587660628267,112.21228223179043
155,128.09411728430908,143.1192538210498,112.23427420642871,111.30011397769242
156,141.6094781364561,138.4908757673385,115.49612488609499,113.17210915445374
157,145.70649526332906,139.8943562482688,114.26265901769276,115.84066349404469
158,146.80441753820833,143.66004144753373,87.69994856693138,112.00531630694267
159,154.1741659484477,152.11685927291217,90.0015423126151,103.2932985557489
160,149.06449312377742,152.12544720806278,93.71643404264036,110.92676368332558
161,142.9050830604837,150.1539162868549,95.17524724843636,109.63602498099397
162,132.39417384829324,145.87632158483322,97.06966475727509,128.2426052176123
163,128.02394511904123,135.85730399083306,104.62102669750898,130.2308295148256
164,127.56230279402446,129.9237088970639,102.4404630746938,89.24818638168888
165,127.96794198928202,118.94139746838226,115.25585258683083,48.34262899494546
166,122.10673610068478,117.97643131587513,118.86942024261047,52.74077528641037
167,121.81506804142542,113.59027442623822,122.45875959967356,56.36488482880858
168,127.26895738395345,89.77160789729862,123.55679647935602,55.957818362352036
169,131.95655520301415,120.88085335189507,128.53802785018053,66.66237763007472
170,144.383046492347,132.28529091155926,131.82205115697644,71.96756471001879
171,154.88591593699644,103.34444987180494,133.54334170176546,91.85603129801481
172,151.44653706313795,114.20819220159595,128.66494315898643,108.08692046320569
173,150.04952379223067,134.64593051963112,130.3495657732799,139.82037912726832
174,135.84773831131164,129.0691490083956,122.22933666398173,129.12872092766935
175,120.19829952212761,129.13592933254844,117.5967270940874,124.70513051467225
176,131.16634135363142,148.29597234626485,120.57651949934959,130.35588492503896
177,123.10881650593865,146.37602033976924,99.49921604882205,129.47838576610297
178,129.58157403291952,142.5709489860055,99.2433380592442,129.8395464933257
179,141.05034208195462,147.69226116676978,108.37272828609873,128.33694630726225
180,148.20261943033546,143.4479497103059,121.60720199243102,143.02111943801842
181,151.19195895084437,140.153438447481,115.68535642049402,143.56947548058275
182,137.19926954734103,125.35603903678467,120.58729747732447,142.90974942861527
183,133.52640270056406,129.25656799581202,113.74983579325453,139.61854050740052
184,126.77148610225981,134.0397404105921,109.97740869354067,147.3440033438414
185,133.1331498825079,150.6356633029848,105.55233600689961,123.86460571804237
186,127.62884958201728,148.34840951215858,107.93400171808025,131.34751703548514
187,131.89049371534733,150.44294898417604,108.01485446856154,128.05882943772312
188,139.1003955889753,152.60477525160098,115.39977532980777,135.9611419587237
189,141.17225209300696,135.54864359574864,117.57140281604721,136.84868548688698
190,145.87786569232065,138.7256936772922,125.88214063153676,144.7712515062969
191,149.35050936737966,150.6767351165332,135.57903969159298,142.0620432881244
192,149.9529317535204,155.1737268408347,133.12428859188464,137.77621169067126
193,142.21473393781528,147.30631116385794,128.95774463467976,147.1122499580708
194,143.52708617505806,150.2322172970571,128.14880255068323,149.31272611340265
195,144.8778200627625,144.13939686557657,127.29332736196498,143.53438102130022
196,143.3204113003248,144.83039445668172,120.30436854812203,113.49751425788156
197,142.55116580465995,135.37149638842223,112.58016458814464,108.66506867903638
198,138.92713573020743,131.20259711771644,103.32398131450203,110.02265940054222
199,134.44419385170366,136.4440746038452,101.68215827792295,115.30318001200797
200,131.7648235156133,132.0514452347119,101.83475929563208,127.96968743992596
201,133.58751096539325,127.06065621269956,101.31422711408197,135.9941471387984
202,134.75027244281543,130.43504538603182,102.67640886828737,131.73352958668463
203,129.13369232513165,127.04984971331483,97.47844506824168,133.62362609836387
204,123.67611233875239,125.66983284710048,108.36145791405563,140.89804569297345
205,114.04281434592416,126.59560530301364,115.07559827764211,145.0971345784477
206,109.13250077450964,124.90595932630612,113.99298393309536,148.51059238608795
207,121.36953872470464,127.10833249065371,110.0388415652232,147.5152411768049
208,129.0155276082815,129.58819439620845,110.87396582654877,147.68978247009642
209,132.7451069516152,138.84633073425664,110.91380020630776,144.5722703179194
210,131.35532182211549,133.00822711160384,110.64879998938474,149.31887887782884
211,128.9383459000997,131.712161054236,101.29298065311367,148.6264817470705
212,128.32995284642755,131.61153574982265,104.12723595472217,151.31964796426647
213,128.9823610246835,127.67141620462021,110.40104911323395,154.40648910795838
214,131.57619924197414,135.49166889089145,107.74297384418428,146.64655502159152
215,136.6248552501757,138.60609651935687,108.83364136755016,148.0936449499615
216,140.9214704611801,143.90052160909724,109.0572371801414,148.76396355101258
217,146.16099978791252,145.4578951773696,108.21236652538904,144.94181031738748
218,142.73103236861914,140.6339814970973,108.70385892519931,143.12806601936404
219,141.5545841808885,136.54416856572618,118.91746383328802,146.8621239931732
220,142.4127841812758,99.42307974697823,136.77622695493838,154.905736819469
221,139.5529346110154,47.363213685811544,144.13547915241077,159.87666281330988
222,137.35389868435306,94.3530918959297,156.9287724671357,168.72752125441926
223,119.8178596467787,27.846981015894958,158.0479414099727,172.17556970927677
224,123.12939715992611,63.50610225036783,157.58058622063106,170.6499739517975
225,112.42751016068422,69.30517133128049,158.28552165207634,168.08320770578385
226,107.56001748449091,102.34717131898327,158.6963976147821,167.22551852953302
227,111.46072643988687,100.84263536805119,156.38586768489884,167.35241352553862
228,110.13837000226653,92.46007418259487,155.1035635305521,167.8306826129045
229,110.7521523692123,85.77340353736817,152.37442657061774,163.863514887665
230,108.19163434958467,79.50748314325386,151.83751591415947,159.6683876526994
231,108.86922619600874,73.36163482760657,152.2689753059869,159.7997980169642
232,110.43013317595445,75.96130331459331,151.56859951822585,156.0279383543589
233,115.2550003347953,77.30781414399364,150.8904053392426,152.06995313217786
234,117.60239692437023,82.79783757929955,154.86392448603965,160.54076600889792
235,117.12688741315155,87.00825393870053,155.54870633084192,162.41223888028182
236,116.55128711976812,87.73370570453528,157.50108503133112,164.69931916887882
237,113.69390541658721,88.418388508114,158.613304537426,163.87644659674334
238,114.25038879177761,110.61601886018198,160.21938995127698,167.3442033577723
239,111.99723706107709,128.1054167424859,160.67350505119344,162.5220805724308
240,113.08189472898079,121.14739206655706,161.40908966833717,163.27485423295744
241,112.86521668155615,117.90514642291839,161.06876269938633,166.37827202870753
242,109.06233921448487,125.15597820980165,161.34551573857127,164.31217441522594
243,109.9510403210719,126.0009028644448,161.7358118349139,167.92173833569097
244,104.91710035419399,124.50963504821463,160.51822858443117,167.2085154838061
245,98.2609786840036,133.23631356711294,161.09640574931376,165.8948199809975
246,100.67568458590095,138.47225466299162,160.25721181834868,159.62801214511023
247,97.67965728276022,138.22290507516644,158.20534432129074,158.01628336862782
248,103.45871895558147,134.3247578428737,154.4891179761455,155.60656773293556
249,106.92235259804352,57.43538734867619,152.56048932153723,147.9074775254237
250,104.22936420575633,76.41871991745434,150.858033256584,153.995195924815
251,88.93159084175684,62.96921331997563,156.57468845963615,155.7322312119463
252,86.12695564215204,87.0714453010493,158.4909608628666,163.07900778045212
253,84.41986263820776,73.75460352889007,157.54146560506032,162.7485778687626
254,81.26373180215485,54.27721835146573,159.01383813083453,163.5131870124246
255,70.62728731564573,46.25747782338465,158.92512717758424,162.45458094329715
256,63.86357760790946,62.24575764484124,157.47197316310493,161.0426804131695
257,71.5590048199994,51.4491762451045,155.39433564973498,161.39441550819964
258,74.15890678018381,90.90477676740979,154.1100449008738,158.63700572710442
259,70.76352257828091,100.53013734755491,150.2431632720853,155.02729509632474
260,72.43934250972667,99.53681490911234,153.09814318696098,160.3116071240462
261,72.90094193764297,89.38439293849021,154.9054916772243,160.24443864193591
262,70.67046013499865,45.98476335953352,154.82055643005774,156.15832891769833
263,68.92078096733543,43.71823245497676,156.10844150903128,158.15835892667363
264,70.68318886188733,42.0761662665469,155.45772585263248,159.00847013506024
265,65.92130814698983,45.48143234357722,155.979260569455,157.8357432870354
266,65.23514604832336,68.40602053745145,156.5630351370464,154.40776653820203
267,61.92979122322483,95.51016644090699,156.9712703746965,159.01822990265785
268,71.71671624896926,83.5303952977354,160.12205365309086,165.59411116606873
269,58.191333594838824,81.63877298185757,160.03629754411318,165.1575762313897
270,39.25689191322051,109.86480225020529,153.2326403139045,163.54378007687205
271,55.18305670566249,92.07879301568347,152.45414418971868,159.16867854502286
272,96.55444674272897,87.49829605603915,152.32116560250265,155.13894221808204
273,97.66890768635734,87.09245556830794,151.24228872884873,152.7019831718751
274,80.28595996221321,77.8160554421397,149.72493423440642,152.50594208481098
275,61.539400327346485,79.40260363217574,152.6725460608125,154.93263510724262
276,72.25491224995024,79.18837200306807,149.86829630871364,152.90644473121614
277,77.96144223784958,87.47510061004849,148.2492397633115,147.7863668377806
278,73.51752999763828,94.2973649938008,145.69553501949156,142.535935336595
279,64.77245069812477,102.06523133648712,143.7284558494607,138.64285376545382
280,55.429697062234865,107.52449655239397,141.7742788753711,131.7046968319027
