frame,right_elbow,left_elbow,right_knee,left_knee
0,141.41347779797985,158.05986707009254,171.67122911356367,174.62543090184397
1,138.3351911281315,157.06613241680776,177.10896616304822,176.56324997299652
2,137.46198712584646,152.55438591085803,176.46025067076738,176.16725920027955
3,137.40915922806195,154.60497349707185,176.2082653873197,176.03045732869055
4,136.9822027027575,154.5704753640978,175.98062470963333,176.55201057455915
5,136.6455327294604,152.7940080359487,175.56400816890172,177.9788054646044
6,136.32407528907586,149.1828456686215,176.1713187885777,178.49034950170864
7,135.66309538732025,150.7894300701456,176.46385687396366,178.62242732248333
8,135.07774297561537,151.2555855524282,179.13144744944395,178.1919957986148
9,134.25008326211417,150.66435175034795,179.2910102555482,177.8965645813999
10,133.7712199265794,150.282152687809,178.98306636314956,178.44318359727228
11,134.12202075541893,149.77109671664513,177.94313267838666,178.5801623693375
12,132.52019864357894,150.40540984543128,179.16746825267316,178.38716319303734
13,130.91322525922254,150.61075088511834,179.07645141734076,177.4936363258425
14,125.66310880436573,150.01560715844272,178.1580925558922,177.22296809295256
15,122.659497607835,148.47599613732154,175.94743657237817,176.313984686235
16,119.31490879448032,153.66855710106014,175.0149133756383,176.2890727195028
17,112.37424635414978,158.80422649441448,176.16339956338447,176.21287830634012
18,107.70802747026903,158.64338311218404,176.3721253895533,176.38118081665377
19,101.40640577699155,160.1604970094372,176.5503449752634,176.11751410502328
20,91.92036030299145,156.9568651439001,176.7609532775644,177.477448729462
21,91.06612549363429,143.61291933113705,177.23903326775726,177.97449843784923
22,91.93351889383186,137.55567991317,177.4432478622297,178.3684198723224
23,91.55852328865082,130.97356304489588,176.56342448750155,178.23042355685573
24,85.78729844939659,129.33011838484467,176.3174491582708,178.47309232951872
25,78.70514359684044,116.91903945039155,176.32689863533662,177.89516414389504
26,79.10019243189116,105.56741498748005,175.89746669374654,177.03198264728724
27,69.70522357826066,93.41923375662621,175.4896581093307,176.80679130757048
28,76.92277803870364,102.48401679572098,174.63387980036742,174.94453554737152
29,80.59377704456044,98.17402284862892,176.1595696246077,175.97442630650488
30,92.02285114495557,91.33753086378998,176.46295442619314,176.39444402149311
31,95.85381716524921,99.15234920992057,176.12079009592247,176.17358499383374
32,99.33033355276416,101.58022989168101,174.83754809335656,176.0439371171137
33,96.79422990192084,106.54769311492439,174.0391327569038,175.52654056801856
34,101.20424066332275,144.18015688695075,165.24679816458567,167.1688666515347
35,105.56238342145912,145.69250228799234,155.668075293444,157.66892632080632
36,97.71690763726976,138.80987794071285,155.94531592189958,152.57533952974856
37,94.21996924757234,119.08104537235157,159.63306947220562,160.6158151228388
38,96.3114806111909,129.79874492105682,162.52652976328602,165.7739454829045
39,94.71989699782448,129.0020709367814,158.74754600668354,166.57928139280816
40,92.47190776409325,137.236655833469,151.3892356411081,155.48521888736124
41,89.7648396930455,127.56456925208268,155.3689752096938,158.85728034483228
42,72.58353591811422,129.85377663101295,147.7123485090249,154.03505989354431
43,65.14979059007196,123.09988898300334,156.7018080494435,161.54524745948416
44,65.89947318866,132.878421214753,151.54170064940996,159.1481439505592
45,75.48746579892988,155.2759123459928,166.85555613388954,167.78420802487344
46,77.70279098643888,163.76370886873596,169.82436694384322,172.09224989238496
47,78.61131086247211,163.17835948892582,166.7248501314322,169.98731642704902
48,78.49284382963711,164.42260154058746,167.14829077666005,171.64808928709712
49,90.43702917891324,159.8047231601238,166.93299098239189,172.26780357210149
